symbol;name;start;end;period;id
ALDR;Alder Biopharmaceuticals Inc (ALDR) Prices and Trading Volume;2014-05-08;2018-03-27;daily;13693034
ALE;Allete Inc. (ALE) Prices and Trading Volume;1973-05-03;2018-03-27;daily;10980801
ALEX;Alexander & Baldwin Inc. (ALEX) Prices and Trading Volume;2012-06-14;2018-03-27;daily;10980155
ALG;Alamo Group Inc. (ALG) Prices and Trading Volume;1993-03-19;2018-03-27;daily;10979292
ALGN;Align Technology Inc. (ALGN) Prices and Trading Volume;2001-01-30;2018-03-27;daily;10980398
ALGT;Allegiant Travel Company (ALGT) Prices and Trading Volume;2006-12-08;2018-03-27;daily;10980748
ALIM;Alimera Sciences Inc. (ALIM) Prices and Trading Volume;2010-04-22;2018-03-27;daily;10980437
ALJ;Alon USA Energy Inc (ALJ) Prices and Trading Volume;2005-07-28;2017-06-30;daily;10981529
ALK;Alaska Air Group Inc. (ALK) Prices and Trading Volume;1983-01-03;2018-03-27;daily;10979511
ALKS;Alkermes plc (ALKS) Prices and Trading Volume;1991-07-16;2018-03-27;daily;10980586
ALL;Allstate Corp. (ALL) Prices and Trading Volume;1993-06-03;2018-03-27;daily;9775510
ALLE;Allegion Plc (ALLE) Prices and Trading Volume;2013-11-18;2018-03-27;daily;9775511
ALNY;Alnylam Pharmaceuticals Inc. (ALNY) Prices and Trading Volume;2004-06-01;2018-03-27;daily;10981526
ALOG;Analogic Corp (ALOG) Prices and Trading Volume;1984-09-07;2018-03-27;daily;10985919
ALR;Alere (ALR) Prices and Trading Volume;1996-08-06;2017-10-02;daily;10980090
ALSN;Allison Transmission Holdings Inc (ALSN) Prices and Trading Volume;2012-03-15;2018-03-27;daily;10981427
ALTR;Altera Corporation (ALTR) Prices and Trading Volume;1988-04-04;2018-03-07;daily;9775512
ALX;Alexander's Inc. (ALX) Prices and Trading Volume;1984-07-19;2018-03-27;daily;11251315
ALXN;Alexion Pharmaceuticals Inc. (ALXN) Prices and Trading Volume;1996-02-28;2018-03-27;daily;9775513
AMAG;AMAG Pharmaceuticals Inc. (AMAG) Prices and Trading Volume;1986-06-12;2018-03-27;daily;10982353
AMAT;Applied Materials Inc. (AMAT) Prices and Trading Volume;1984-09-07;2018-03-27;daily;9775514
AMBA;Ambarella Inc. (AMBA) Prices and Trading Volume;2012-10-10;2018-03-27;daily;10982507
AMBC;Ambac Financial Group Inc. (AMBC) Prices and Trading Volume;2013-05-01;2018-03-27;daily;10982503
AMBR;Amber Road Inc (AMBR) Prices and Trading Volume;2014-03-21;2018-03-27;daily;13693036
AMC;AMC Entertainment Holdings Inc. (AMC) Prices and Trading Volume;2013-12-18;2018-03-27;daily;10982648
AMCC;Applied Micro Circuits Corporation (AMCC) Prices and Trading Volume;1997-12-08;2017-01-26;daily;10987633
AMCX;AMC Networks Inc. (AMCX) Prices and Trading Volume;2011-06-16;2018-03-27;daily;10982679
AMD;Advanced Micro Devices Inc. (AMD) Prices and Trading Volume;1983-03-21;2018-03-27;daily;10976492
AME;AMETEK Inc. (AME) Prices and Trading Volume;1984-07-19;2018-03-27;daily;9775515
AMED;Amedisys Inc (AMED) Prices and Trading Volume;1994-08-18;2018-03-27;daily;10982810
AMG;Affiliated Managers Group Inc. (AMG) Prices and Trading Volume;1997-11-21;2018-03-27;daily;10977634
AMGN;Amgen Inc (AMGN) Prices and Trading Volume;1984-09-07;2018-03-27;daily;9775516
AMKR;Amkor Technology Inc. (AMKR) Prices and Trading Volume;1998-05-01;2018-03-27;daily;10985232
AMNB;American National Bankshares Inc. (Danville VA) (AMNB) Prices and Trading Volume;1999-04-13;2018-03-27;daily;10982863
AMP;Ameriprise Financial Inc (AMP) Prices and Trading Volume;2005-09-15;2018-03-27;daily;9775517
AMPE;Ampio Pharmaceuticals Inc (AMPE) Prices and Trading Volume;2010-03-31;2018-03-27;daily;10985430
AMRC;Ameresco (AMRC) Prices and Trading Volume;2010-07-22;2018-03-27;daily;10982942
AMRE;AmREIT (AMRE) Prices and Trading Volume;2012-07-27;2015-02-18;daily;11251326
AMRI;Albany Molecular Research Inc. (AMRI) Prices and Trading Volume;1999-02-04;2017-08-31;daily;10979792
AMRS;Amyris Inc. (AMRS) Prices and Trading Volume;2010-09-28;2018-03-27;daily;10985739
AMSC;American Superconductor Corp. (AMSC) Prices and Trading Volume;1991-12-12;2018-03-27;daily;10984651
AMSF;Amerisafe Inc (AMSF) Prices and Trading Volume;2005-11-18;2018-03-27;daily;10984974
AMT;American Tower Corp (New) (AMT) Prices and Trading Volume;1998-02-27;2018-03-27;daily;9775518
AMTD;TD Ameritrade Holding Corp (AMTD) Prices and Trading Volume;1997-03-04;2018-03-27;daily;11133519
AMWD;American Woodmark Corporation (AMWD) Prices and Trading Volume;1986-07-21;2018-03-27;daily;10984823
AMZG;American Eagle Energy Corp. (AMZG) Prices and Trading Volume;2006-06-15;2015-05-11;daily;10983469
AMZN;Amazon.com Inc. (AMZN) Prices and Trading Volume;1997-05-16;2018-03-27;daily;9775519
AN;AutoNation Inc. (AN) Prices and Trading Volume;1992-03-03;2018-03-07;daily;9775551
ANAC;Anacor Pharmaceuticals Inc. (ANAC) Prices and Trading Volume;2010-11-24;2016-06-24;daily;10985806
ANAD;ANADIGICS Inc (ANAD) Prices and Trading Volume;1995-04-21;2016-03-15;daily;10985845
ANAT;American National Insurance Co. (Galveston TX) (ANAT) Prices and Trading Volume;1984-09-07;2018-03-27;daily;10984028
ANCX;Access National Corp (ANCX) Prices and Trading Volume;2004-07-19;2018-03-27;daily;10974034
ANDE;Andersons Inc. (ANDE) Prices and Trading Volume;1996-02-20;2018-03-27;daily;10986152
ANF;Abercrombie & Fitch Co. (ANF) Prices and Trading Volume;1996-09-26;2018-03-27;daily;10973568
ANGI;Angie's List Inc. (ANGI) Prices and Trading Volume;2011-11-17;2018-03-27;daily;10986392
ANGO;AngioDynamics Inc. (ANGO) Prices and Trading Volume;2004-06-01;2018-03-27;daily;10986414
ANH;Anworth Mortgage Asset Corp. (ANH) Prices and Trading Volume;1998-03-12;2018-03-27;daily;11251328
ANIK;Anika Therapeutics Inc. (ANIK) Prices and Trading Volume;1993-05-04;2018-03-27;daily;10986754
ANIP;ANI Pharmaceuticals Inc. (ANIP) Prices and Trading Volume;2000-05-05;2018-03-27;daily;10986706
ANN;ANN INC (ANN) Prices and Trading Volume;1991-05-17;2015-08-21;daily;10986848
ANR;Alpha Natural Resources Inc. (ANR) Prices and Trading Volume;2005-02-15;2015-07-16;daily;10981542
ANSS;ANSYS Inc. (ANSS) Prices and Trading Volume;1996-06-21;2018-03-27;daily;10986908
